812 DEBUG  [main]  Spider  - End :table
812 DEBUG  [main]  Spider  - End :td
812 DEBUG  [main]  Spider  - End :tr
812 DEBUG  [main]  Spider  - End :table
812 DEBUG  [main]  Spider  - Start :table
812 DEBUG  [main]  Spider  - Start :tr
812 DEBUG  [main]  Spider  - Start :td
828 DEBUG  [main]  Spider  - Simple Tag :spacer
953 DEBUG  [main]  Spider  - End :td
953 DEBUG  [main]  Spider  - End :tr
969 DEBUG  [main]  Spider  - End :table
969 DEBUG  [main]  Spider  - Start :script
969 DEBUG  [main]  Spider  - Start :div
969 DEBUG  [main]  Spider  - Start :table
969 DEBUG  [main]  Spider  - Start :tr
969 DEBUG  [main]  Spider  - Start :td
969 INFO  [main]  Spider  - a '+jp(2,'wimg1',img1u)+'
969 DEBUG  [main]  Spider  - Simple Tag :img
969 DEBUG  [main]  Spider  - End :a
969 DEBUG  [main]  Spider  - End :td
969 DEBUG  [main]  Spider  - End :tr
969 DEBUG  [main]  Spider  - End :table
969 DEBUG  [main]  Spider  - End :div
969 DEBUG  [main]  Spider  - Start :table
969 DEBUG  [main]  Spider  - Start :tr
969 DEBUG  [main]  Spider  - Start :td
969 DEBUG  [main]  Spider  - Start :font
969 DEBUG  [main]  Spider  - End :font
969 DEBUG  [main]  Spider  - End :td
969 DEBUG  [main]  Spider  - End :tr
969 DEBUG  [main]  Spider  - End :table
969 DEBUG  [main]  Spider  - End :script
969 DEBUG  [main]  Spider  - Start :table
969 DEBUG  [main]  Spider  - Start :tr
969 DEBUG  [main]  Spider  - Start :td
969 DEBUG  [main]  Spider  - Simple Tag :spacer
969 DEBUG  [main]  Spider  - End :td
969 DEBUG  [main]  Spider  - End :tr
969 DEBUG  [main]  Spider  - End :table
969 DEBUG  [main]  Spider  - Start :table
969 DEBUG  [main]  Spider  - Start :tr
969 DEBUG  [main]  Spider  - Start :td
969 DEBUG  [main]  Spider  - Start :table
969 DEBUG  [main]  Spider  - Start :tr
969 DEBUG  [main]  Spider  - Start :td
969 DEBUG  [main]  Spider  - Start :table
969 DEBUG  [main]  Spider  - Start :tr
969 DEBUG  [main]  Spider  - Start :td
969 DEBUG  [main]  Spider  - Start :font
969 DEBUG  [main]  Spider  - End :font
969 DEBUG  [main]  Spider  - Start :b
969 INFO  [main]  Spider  - a r/c9
969 DEBUG  [main]  Spider  - Start :font
969 DEBUG  [main]  Spider  - End :font
969 DEBUG  [main]  Spider  - End :a
969 DEBUG  [main]  Spider  - End :b
969 DEBUG  [main]  Spider  - End :td
969 DEBUG  [main]  Spider  - Start :td
969 DEBUG  [main]  Spider  - Start :font
969 DEBUG  [main]  Spider  - Start :b
969 DEBUG  [main]  Spider  - End :b
969 DEBUG  [main]  Spider  - End :font
969 DEBUG  [main]  Spider  - Start :font
969 DEBUG  [main]  Spider  - End :font
969 DEBUG  [main]  Spider  - End :td
969 DEBUG  [main]  Spider  - End :tr
969 DEBUG  [main]  Spider  - End :table
969 DEBUG  [main]  Spider  - Start :table
969 DEBUG  [main]  Spider  - Start :tr
969 DEBUG  [main]  Spider  - Start :td
984 DEBUG  [main]  Spider  - Start :table
984 DEBUG  [main]  Spider  - Start :tr
984 DEBUG  [main]  Spider  - Start :td
984 DEBUG  [main]  Spider  - Simple Tag :spacer
984 DEBUG  [main]  Spider  - End :td
984 DEBUG  [main]  Spider  - End :tr
984 DEBUG  [main]  Spider  - End :table
984 DEBUG  [main]  Spider  - Start :table
984 DEBUG  [main]  Spider  - Start :tr
984 DEBUG  [main]  Spider  - Start :td
984 DEBUG  [main]  Spider  - End :td
1203 DEBUG  [main]  Spider  - Start :td
1203 DEBUG  [main]  Spider  - Start :font
1203 INFO  [main]  Spider  - a r/h9
1203 DEBUG  [main]  Spider  - End :a
1203 DEBUG  [main]  Spider  - End :font
1203 DEBUG  [main]  Spider  - End :td
1203 DEBUG  [main]  Spider  - Start :td
1203 DEBUG  [main]  Spider  - Start :font
1203 INFO  [main]  Spider  - a r/e9
1203 DEBUG  [main]  Spider  - End :a
1203 DEBUG  [main]  Spider  - End :font
1203 DEBUG  [main]  Spider  - End :td
1203 DEBUG  [main]  Spider  - Start :td
1203 DEBUG  [main]  Spider  - End :td
1203 DEBUG  [main]  Spider  - End :tr
1203 DEBUG  [main]  Spider  - Start :tr
1203 DEBUG  [main]  Spider  - Start :td
1203 DEBUG  [main]  Spider  - Start :font
1203 INFO  [main]  Spider  - a r/d9
1203 DEBUG  [main]  Spider  - End :a
1203 DEBUG  [main]  Spider  - End :font
